종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,885","-25","0.86","2,885","2,865","159,643","459,728,135","2,900","2,935","2,850","500",원(KRW),"44,772,143","129,167,632,555",1408
054620,APS홀딩스,"12,850","-300","2.28","12,850","12,800","395,368","5,058,371,850","13,300","13,300","12,550","500",원(KRW),"20,394,221","262,065,739,850",
265520,AP시스템,"31,800","-450","1.40","31,800","31,750","292,788","9,278,891,400","32,400","32,650","31,150","500",원(KRW),"14,480,227","460,471,218,600",
211270,AP위성,"7,490","-70","0.93","7,490","7,480","72,552","542,183,870","7,630","7,740","7,160","500",원(KRW),"15,014,804","112,460,881,960",
035760,CJ ENM,"147,500","-3,100","2.06","147,700","147,500","158,256","23,586,912,600","150,600","152,400","147,500","5,000",원(KRW),"21,929,154","3,234,550,215,000",
051500,CJ프레시웨이,"24,500","-500","2.00","24,550","24,500","32,457","801,568,750","25,100","25,200","24,500","1,000",원(KRW),"11,871,586","290,853,857,000",
058820,CMG제약,"4,220","150","3.69","4,220","4,215","3,895,280","16,251,694,315","4,065","4,275","4,050","500",원(KRW),"138,892,244","586,125,269,680",
023460,CNH,"1,970","-10","0.51","1,970","1,950","86,990","169,511,220","1,985","1,990","1,920","2,500",원(KRW),"37,200,000","73,284,000,000",
065770,CS,"2,730","-75","2.67","2,755","2,730","41,188","113,483,295","2,805","2,830","2,725","500",원(KRW),"18,835,150","51,419,959,500",
083660,CSA 코스믹,"4,170","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"19,747,641","82,347,662,970",
322780,DB금융스팩7호,"2,050","0","0.00","2,055","2,050","14,058","28,804,110","2,035","2,055","2,035","100",원(KRW),"4,550,000","9,327,500,000",
068790,DMS,"5,160","-110","2.09","5,170","5,160","282,116","1,460,281,100","5,270","5,330","5,090","500",원(KRW),"23,042,487","118,899,232,920",
241520,DSC인베스트먼트,"3,270","-10","0.30","3,270","3,265","73,057","235,966,530","3,310","3,310","3,180","500",원(KRW),"18,119,383","59,250,382,410",
245620,EDGC,"5,260","260","5.20","5,260","5,250","446,567","2,296,570,615","5,010","5,260","4,975","100",원(KRW),"36,172,940","190,269,664,400",
037370,EG,"9,180","-50","0.54","9,190","9,180","32,032","293,360,800","9,200","9,340","9,030","1,000",원(KRW),"7,500,000","68,850,000,000",
079190,EMW,"2,780","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"31,784,197","88,360,067,660",
130500,GH신소재,"3,390","120","3.67","3,390","3,385","262,192","876,573,845","3,275","3,390","3,275","500",원(KRW),"11,000,000","37,290,000,000",
900290,GRT,"2,270","60","2.71","2,270","2,265","134,828","298,985,015","2,220","2,285","2,165","0",중국위안(CNY),"67,375,000","152,941,250,000",
083450,GST,"16,700","200","1.21","16,700","16,650","323,460","5,270,212,500","16,600","16,700","15,900","500",원(KRW),"9,317,745","155,606,341,500",
028150,GS홈쇼핑,"134,900","900","0.67","134,900","134,000","11,055","1,486,316,400","134,000","136,400","133,000","5,000",원(KRW),"6,562,500","885,281,250,000",
045890,GV,"2,420","35","1.47","2,420","2,415","733,930","1,764,905,790","2,380","2,530","2,250","500",원(KRW),"38,246,882","92,557,454,440",
078150,HB테크놀러지,"2,795","-85","2.95","2,800","2,795","2,282,359","6,394,308,505","2,905","2,905","2,755","500",원(KRW),"78,990,426","220,778,240,670",
036640,HRS,"2,650","60","2.32","2,650","2,645","1,638,727","4,354,838,390","2,590","2,735","2,580","500",원(KRW),"16,354,800","43,340,220,000",
299170,IBKS제10호스팩,"2,055","-10","0.48","2,050","2,045","43,292","88,797,635","2,060","2,095","2,045","100",원(KRW),"4,330,000","8,898,150,000",
335890,IBKS제11호스팩,"2,040","10","0.49","2,040","2,035","1,753","3,567,380","2,030","2,050","2,030","100",원(KRW),"4,790,000","9,771,600,000",
335870,IBKS제12호스팩,"2,115","40","1.93","2,115","2,080","549","1,155,105","2,100","2,115","2,100","100",원(KRW),"3,120,000","6,598,800,000",
276920,IBKS제7호스팩,"2,130","30","1.43","2,130","2,100","902","1,903,460","2,130","2,130","2,100","100",원(KRW),"3,650,000","7,774,500,000",
095340,ISC,"14,300","300","2.14","14,350","14,300","344,549","4,802,961,950","14,000","14,500","13,350","500",원(KRW),"14,142,508","202,237,864,400",
099520,ITX엠투엠,"1,505","85","5.99","1,505","1,500","352,726","516,458,590","1,420","1,525","1,390","500",원(KRW),"16,466,131","24,781,527,155",
950170,JTC,"7,100","-100","1.39","7,100","7,090","167,561","1,192,089,480","7,130","7,270","7,020","0",일본엔(JPY),"35,005,517","248,539,170,700",
067290,JW신약,"4,820","160","3.43","4,830","4,820","1,757,715","8,517,572,655","4,660","5,020","4,660","500",원(KRW),"41,667,166","200,835,740,120",
035900,JYP Ent.,"24,800","-400","1.59","24,850","24,800","295,213","7,350,207,500","25,200","25,350","24,500","500",원(KRW),"35,494,992","880,275,801,600",
024840,KBI메탈,"1,650","-15","0.90","1,650","1,645","440,843","732,370,720","1,680","1,695","1,645","500",원(KRW),"32,950,848","54,368,899,200",
024120,KB오토시스,"5,850","0","0.00","5,860","5,840","973","5,688,070","5,900","5,900","5,780","500",원(KRW),"11,500,000","67,275,000,000",
021320,KCC건설,"5,910","-110","1.83","5,960","5,910","45,816","270,568,510","6,090","6,090","5,840","5,000",원(KRW),"21,400,000","126,474,000,000",
036670,KCI,"10,000","-200","1.96","10,000","9,970","127,972","1,280,557,340","10,250","10,300","9,880","500",원(KRW),"11,270,000","112,700,000,000",
044180,KD,"495","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"78,353,304","38,784,885,480",
151860,KG ETS,"3,155","-50","1.56","3,160","3,155","192,903","609,145,150","3,200","3,215","3,125","500",원(KRW),"36,000,000","113,580,000,000",
046440,KG모빌리언스,"5,720","-20","0.35","5,720","5,710","83,175","472,477,360","5,740","5,760","5,610","500",원(KRW),"29,906,957","171,067,794,040",
035600,KG이니시스,"20,750","400","1.97","20,800","20,750","347,040","7,176,674,750","20,400","21,000","20,050","500",원(KRW),"27,904,434","579,017,005,500",
060720,KH바텍,"25,950","450","1.76","25,950","25,900","2,071,020","52,793,058,200","25,600","26,250","24,550","500",원(KRW),"23,191,108","601,809,252,600",
083470,KJ프리텍,"387","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"24,704,729","9,560,730,123",
122450,KMH,"5,760","50","0.88","5,760","5,750","137,769","804,744,240","5,790","5,980","5,730","500",원(KRW),"22,868,495","131,722,531,200",
052900,KMH하이텍,"1,205","-30","2.43","1,210","1,205","413,532","500,888,240","1,230","1,250","1,195","500",원(KRW),"46,885,499","56,497,026,295",
058400,KNN,"1,300","20","1.56","1,300","1,295","8,094,223","10,407,405,405","1,300","1,355","1,210","500",원(KRW),"132,429,720","172,158,636,000",
114450,KPX생명과학,"7,340","460","6.69","7,340","7,330","4,926,937","38,856,773,830","6,850","8,700","6,750","500",원(KRW),"15,000,000","110,100,000,000",
036030,KTH,"5,960","-220","3.56","5,970","5,960","1,125,498","6,855,999,600","6,300","6,340","5,940","1,000",원(KRW),"35,715,022","212,861,531,120",
060370,KT서브마린,"4,595","60","1.32","4,595","4,590","146,803","659,598,035","4,530","4,595","4,375","1,000",원(KRW),"21,900,000","100,630,500,000",
065150,MP그룹,"1,315","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"80,808,407","106,263,055,205",
219550,MP한강,"1,010","25","2.54","1,010","1,005","664,813","666,205,486","999","1,015","990","100",원(KRW),"56,831,270","57,399,582,700",
160550,NEW,"4,645","-110","2.31","4,650","4,645","276,662","1,298,409,960","4,810","4,820","4,615","500",원(KRW),"27,906,106","129,623,862,370",
053290,NE능률,"3,680","275","8.08","3,680","3,670","964,934","3,455,360,890","3,400","3,680","3,390","500",원(KRW),"14,254,958","52,458,245,440",
104200,NHN벅스,"5,140","-10","0.19","5,140","5,080","18,859","95,421,750","5,150","5,180","4,990","500",원(KRW),"14,827,550","76,213,607,000",
060250,NHN한국사이버결제,"29,750","1,150","4.02","29,800","29,750","714,226","21,108,104,850","28,850","30,250","28,500","500",원(KRW),"22,971,393","683,398,941,750",
030190,NICE평가정보,"16,800","-50","0.30","16,900","16,800","260,476","4,412,635,450","16,850","17,150","16,700","500",원(KRW),"60,714,820","1,020,008,976,000",
024940,PN풍년,"2,240","-5","0.22","2,240","2,230","39,963","88,659,170","2,225","2,245","2,200","500",원(KRW),"10,000,000","22,400,000,000",
218410,RFHIC,"32,100","-600","1.83","32,100","32,050","519,068","16,586,640,750","32,650","33,200","31,350","500",원(KRW),"23,847,620","765,508,602,000",
091340,S&K폴리텍,"8,770","420","5.03","8,770","8,760","381,472","3,279,700,630","8,350","8,770","8,350","500",원(KRW),"11,703,721","102,641,633,170",
019550,SBI인베스트먼트,"678","-12","1.74","678","676","254,735","172,572,176","684","694","670","500",원(KRW),"162,066,575","109,881,137,850",
950110,SBI핀테크솔루션즈,"10,100","-250","2.42","10,100","10,050","57,500","582,552,450","10,250","10,400","10,000","0",일본엔(JPY),"24,656,540","249,031,054,000",
046140,SBS콘텐츠허브,"5,910","-90","1.50","5,910","5,900","11,841","69,924,780","5,870","5,990","5,850","500",원(KRW),"21,463,555","126,849,610,050",
036120,SCI평가정보,"2,820","40","1.44","2,825","2,820","347,829","981,845,265","2,835","2,870","2,775","500",원(KRW),"35,500,000","100,110,000,000",
099220,SDN,"2,575","-70","2.65","2,575","2,570","1,463,607","3,750,904,120","2,665","2,670","2,515","500",원(KRW),"46,305,180","119,235,838,500",
036540,SFA반도체,"6,110","60","0.99","6,110","6,100","4,750,487","28,645,133,280","6,090","6,150","5,890","500",원(KRW),"142,292,274","869,405,794,140",
255220,SG,"1,905","-35","1.80","1,905","1,895","97,789","185,406,790","1,950","1,950","1,855","100",원(KRW),"36,720,027","69,951,651,435",
040610,SG&G,"1,785","-25","1.38","1,800","1,785","61,783","110,912,280","1,810","1,820","1,785","500",원(KRW),"34,087,196","60,845,644,860",
049470,SGA,"694","0","0.00","697","694","52,099","36,247,997","694","707","689","1,000",원(KRW),"48,362,249","33,563,400,806",
184230,SGA솔루션즈,"1,130","-10","0.88","1,140","1,130","101,168","114,899,190","1,150","1,165","1,115","100",원(KRW),"36,676,033","41,443,917,290",
307070,SK4호스팩,"2,045","-5","0.24","2,045","2,040","1","2,045","2,045","2,045","2,045","100",원(KRW),"5,160,000","10,552,200,000",
337450,SK5호스팩,"2,020","-5","0.25","2,020","2,015","5,106","10,314,125","2,020","2,025","2,020","100",원(KRW),"4,310,000","8,706,200,000",
057500,SKC 솔믹스,"3,365","-35","1.03","3,375","3,365","394,627","1,327,068,250","3,400","3,435","3,310","500",원(KRW),"61,494,040","206,927,444,600",
178920,SKC코오롱PI,"39,600","-300","0.75","39,600","39,550","368,102","14,442,784,800","40,100","40,250","38,400","500",원(KRW),"29,366,322","1,162,906,351,200",
036490,SK머티리얼즈,"162,200","-2,000","1.22","162,300","162,200","62,138","10,082,553,300","164,300","166,900","160,200","500",원(KRW),"10,547,673","1,710,832,560,600",
052260,SK바이오랜드,"23,800","800","3.48","23,800","23,750","547,742","12,792,232,350","23,200","23,800","22,800","500",원(KRW),"15,000,000","357,000,000,000",
048550,SM C&C,"1,505","-15","0.99","1,505","1,495","119,097","177,618,290","1,510","1,525","1,465","500",원(KRW),"94,061,026","141,561,844,130",
063440,SM Life Design,"1,770","5","0.28","1,770","1,765","2,031,468","3,533,888,430","1,775","1,790","1,690","500",원(KRW),"45,029,154","79,701,602,580",
950180,SNK,"16,350","-100","0.61","16,400","16,350","32,910","536,473,900","16,500","16,550","16,150","0",일본엔(JPY),"21,061,800","344,360,430,000",
289080,SV인베스트먼트,"1,805","-30","1.63","1,805","1,800","423,303","762,915,015","1,820","1,845","1,760","500",원(KRW),"53,234,000","96,087,370,000",
089230,THE E&M,"800","0","0.00","800","799","540,536","428,104,034","809","809","786","100",원(KRW),"118,675,567","94,940,453,600",
161570,THE MIDONG,"2,250","-40","1.75","2,255","2,250","207,719","466,110,750","2,295","2,330","2,165","500",원(KRW),"13,791,786","31,031,518,500",
032540,TJ미디어,"3,460","40","1.17","3,460","3,425","14,863","50,871,410","3,485","3,485","3,385","500",원(KRW),"13,931,609","48,203,367,140",
048770,TPC,"4,015","0","0.00","4,015","4,000","8,794","35,183,365","4,015","4,120","3,950","500",원(KRW),"13,429,618","53,919,916,270",
246690,TS인베스트먼트,"2,460","-65","2.57","2,465","2,460","71,393","176,638,125","2,575","2,575","2,455","500",원(KRW),"22,421,004","55,155,669,840",
038340,UCI,"3,945","-5","0.13","3,950","3,945","103,688","412,587,360","3,905","4,080","3,895","500",원(KRW),"33,115,421","130,640,335,845",
073570,WI,"9,500","-1,250","11.63","9,500","9,490","1,184,314","11,679,022,590","11,050","11,150","9,040","500",원(KRW),"14,241,730","135,296,435,000",
052300,W홀딩컴퍼니,"375","22","6.23","376","375","95,930,925","36,282,623,990","354","406","336","100",원(KRW),"172,336,402","64,626,150,750",
057030,YBM넷,"3,230","-10","0.31","3,230","3,225","86,898","282,625,545","3,245","3,340","3,195","500",원(KRW),"16,312,697","52,690,011,310",
040300,YTN,"2,080","15","0.73","2,080","2,075","32,519","67,364,485","2,040","2,105","2,030","1,000",원(KRW),"42,000,000","87,360,000,000",
051390,YW,"3,900","-165","4.06","3,935","3,900","36,759","144,644,370","4,070","4,070","3,900","500",원(KRW),"11,355,368","44,285,935,200",
052220,iMBC,"2,660","-25","0.93","2,665","2,660","60,599","160,486,330","2,660","2,730","2,630","500",원(KRW),"23,000,000","61,180,000,000",
079940,가비아,"10,950","800","7.88","10,950","10,900","443,490","4,736,451,450","10,250","11,000","10,050","500",원(KRW),"13,535,684","148,215,739,800",
078890,가온미디어,"7,780","80","1.04","7,780","7,770","170,467","1,317,173,120","7,760","7,880","7,560","500",원(KRW),"14,784,585","115,024,071,300",
192410,감마누,"408","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"24,435,800","9,969,806,400",
217730,강스템바이오텍,"6,990","390","5.91","6,990","6,980","757,527","5,273,222,460","6,610","7,110","6,610","500",원(KRW),"20,869,437","145,877,364,630",
114190,강원,"3,290","-135","3.94","3,295","3,290","41,999","139,617,985","3,385","3,420","3,290","500",원(KRW),"17,443,674","57,389,687,460",
094480,갤럭시아컴즈,"3,480","50","1.46","3,485","3,480","66,049","229,856,010","3,435","3,530","3,420","500",원(KRW),"39,229,838","136,519,836,240",
063080,게임빌,"25,100","-200","0.79","25,200","25,100","36,373","910,685,850","25,350","25,500","24,750","500",원(KRW),"6,595,192","165,539,319,200",
039240,경남스틸,"1,720","10","0.58","1,720","1,715","56,869","97,043,040","1,700","1,720","1,690","100",원(KRW),"25,000,000","43,000,000,000",
053950,경남제약,"8,430","-100","1.17","8,440","8,430","157,126","1,327,848,220","8,540","8,580","8,360","500",원(KRW),"17,053,462","143,760,684,660",
011040,경동제약,"8,080","80","1.00","8,080","8,060","38,680","312,455,770","8,050","8,130","8,000","500",원(KRW),"26,550,000","214,524,000,000",
024910,경창산업,"1,070","-30","2.73","1,070","1,065","109,469","116,239,675","1,100","1,135","1,030","500",원(KRW),"35,819,005","38,326,335,350",
198440,고려시멘트,"2,905","-15","0.51","2,905","2,900","243,777","704,612,425","2,905","2,935","2,865","100",원(KRW),"31,979,960","92,901,783,800",
049720,고려신용정보,"4,985","-35","0.70","5,020","4,985","46,053","231,201,105","5,010","5,060","4,985","500",원(KRW),"14,300,000","71,285,500,000",
014570,고려제약,"8,630","620","7.74","8,630","8,620","3,032,304","25,575,327,800","7,970","8,700","7,890","500",원(KRW),"11,000,000","94,930,000,000",
098460,고영,"105,200","2,600","2.53","105,200","104,800","50,359","5,251,928,000","102,600","105,700","102,300","500",원(KRW),"13,728,951","1,444,285,645,200",
038530,골드퍼시픽,"1,345","0","0.00","1,345","1,340","61,183","81,670,925","1,355","1,360","1,320","500",원(KRW),"33,858,959","45,540,299,855",
900280,골든센츄리,"345","-9","2.54","346","345","4,822,765","1,682,513,773","354","356","344","0.2",미국달러(USD),"158,780,000","54,779,100,000",
215000,골프존,"55,400","100","0.18","55,400","55,300","8,863","487,046,000","55,700","55,700","54,100","500",원(KRW),"6,275,415","347,657,991,000",
121440,골프존뉴딘홀딩스,"3,600","-10","0.28","3,600","3,580","14,515","52,125,925","3,610","3,620","3,565","500",원(KRW),"42,836,818","154,212,544,800",
014200,광림,"1,815","0","0.00","1,815","1,805","150,162","272,082,820","1,840","1,845","1,795","500",원(KRW),"52,922,234","96,053,854,710",
026910,광진실업,"3,700","-40","1.07","3,705","3,700","38,952","143,792,660","3,740","3,755","3,660","500",원(KRW),"6,405,405","23,699,998,500",
090150,광진윈텍,"3,140","75","2.45","3,140","3,105","23,677","73,065,240","3,065","3,155","3,030","500",원(KRW),"9,658,393","30,327,354,020",
267320,교보7호스팩,"2,200","45","2.09","2,200","2,195","141,353","308,692,240","2,130","2,250","2,130","100",원(KRW),"4,020,000","8,844,000,000",
307280,교보8호스팩,"2,080","0","0.00","2,080","2,075","223","462,780","2,080","2,080","2,070","100",원(KRW),"3,720,000","7,737,600,000",
331520,교보9호스팩,"2,060","0","0.00","2,060","2,030","2,125","4,313,840","2,060","2,060","2,030","100",원(KRW),"3,880,000","7,992,800,000",
053270,구영테크,"1,955","70","3.71","1,960","1,955","21,830,431","45,863,810,255","1,920","2,245","1,915","500",원(KRW),"26,394,174","51,600,610,170",
066620,국보디자인,"15,400","450","3.01","15,400","15,350","23,463","355,662,200","15,050","15,450","14,950","500",원(KRW),"7,500,000","115,500,000,000",
043650,국순당,"3,595","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"17,858,304","64,200,602,880",
006050,국영지앤엠,"3,020","-120","3.82","3,030","3,020","5,923,502","18,111,906,975","3,095","3,160","2,960","500",원(KRW),"34,895,243","105,383,633,860",
060480,국일신동,"6,350","-80","1.24","6,360","6,350","372,322","2,362,732,120","6,440","6,510","6,230","500",원(KRW),"11,090,000","70,421,500,000",
078130,국일제지,"5,230","0","0.00","5,240","5,230","5,977,885","31,532,082,510","5,250","5,580","5,040","100",원(KRW),"123,154,517","644,098,123,910",
204020,그리티,"2,575","-45","1.72","2,580","2,575","114,064","293,001,705","2,600","2,625","2,535","500",원(KRW),"20,147,430","51,879,632,250",
186230,그린플러스,"9,900","-50","0.50","9,900","9,890","27,855","275,224,820","10,050","10,050","9,810","500",원(KRW),"4,823,871","47,756,322,900",
900070,글로벌에스엠,"700","0","0.00","700","695","26,900","18,709,342","694","705","694","0.5",미국달러(USD),"53,743,968","37,620,777,600",
204620,글로벌텍스프리,"3,570","-125","3.38","3,580","3,570","317,180","1,134,166,340","3,655","3,695","3,530","500",원(KRW),"37,254,218","132,997,558,260",
