종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원)
95570,AJ네트웍스,"4,905",-60,1.21,"4,940","4,905","110,707","543,887,035","4,880","4,960","4,860","1,000",원(KRW),"46,822,295","229,663,356,975"
6840,AK홀딩스,"29,600",-250,0.84,"29,650","29,600","16,902","500,691,400","30,100","30,100","29,400","5,000",원(KRW),"13,247,561","392,127,805,600"
27410,BGF,"5,130",-80,1.54,"5,140","5,130","121,916","627,724,630","5,240","5,240","5,100","1,000",원(KRW),"95,716,791","491,027,137,830"
282330,BGF리테일,"164,500","-3,500",2.08,"164,500","164,000","34,892","5,766,434,500","170,000","170,000","163,000","1,000",원(KRW),"17,283,906","2,843,202,537,000"
138930,BNK금융지주,"6,720",10,0.15,"6,720","6,710","774,674","5,190,758,060","6,850","6,850","6,650","5,000",원(KRW),"325,935,246","2,190,284,853,120"
1460,BYC,"225,500",-500,0.22,"225,500","223,500",91,"20,419,000","225,500","226,000","223,500","5,000",원(KRW),"624,615","140,850,682,500"
1465,BYC우,"121,500",0,0,"121,500","120,000",58,"6,964,500","120,500","121,500","119,000","5,000",원(KRW),"215,385","26,169,277,500"
1040,CJ,"93,400",-900,0.95,"93,400","93,300","59,450","5,541,493,500","94,800","94,800","92,200","5,000",원(KRW),"29,176,998","2,725,131,613,200"
79160,CJ CGV,"27,500","-1,100",3.85,"27,500","27,450","371,589","10,267,009,200","28,450","28,700","27,300",500,원(KRW),"21,161,313","581,936,107,500"
00104K,CJ4우(전환),"69,200",-500,0.72,"69,200","69,100","8,544","586,697,600","70,000","70,200","68,100","5,000",원(KRW),"4,226,512","292,474,630,400"
120,CJ대한통운,"139,000","-1,000",0.71,"139,500","139,000","46,195","6,421,110,500","142,000","142,000","138,000","5,000",원(KRW),"22,812,344","3,170,915,816,000"
11150,CJ씨푸드,"2,910",-60,2.02,"2,910","2,905","2,222,069","6,464,363,565","2,970","3,005","2,845",500,원(KRW),"35,930,773","104,558,549,430"
11155,CJ씨푸드1우,"36,200",-750,2.03,"36,200","36,000","28,653","1,040,107,550","37,700","37,800","35,500",500,원(KRW),"200,000","7,240,000,000"
1045,CJ우,"44,500",-350,0.78,"44,550","44,500","30,184","1,350,907,400","45,600","45,600","44,200","5,000",원(KRW),"2,260,223","100,579,923,500"
97950,CJ제일제당,"274,500","6,000",2.23,"275,000","274,500","64,463","17,744,117,500","272,500","278,000","272,000","5,000",원(KRW),"15,054,186","4,132,374,057,000"
97955,CJ제일제당 우,"115,000","1,000",0.88,"115,000","114,500","7,275","839,124,500","114,500","117,000","114,000","5,000",원(KRW),"1,327,433","152,654,795,000"
590,CS홀딩스,"56,400",100,0.18,"56,400","56,300",123,"6,899,500","57,200","57,200","55,700","5,000",원(KRW),"1,154,482","65,112,784,800"
12030,DB,795,-5,0.63,796,795,"391,862","310,549,169",800,807,782,500,원(KRW),"201,173,933","159,933,276,735"
